Fund,CNPJ,Asset,Side,Amount,Strategy
Hashdex 100 Nasdaq Crypto Index FIM,33.736.845/0001-07,HASH11,BUY,229270,SimpleOrder
HDA I - FIM,33.736.782/0001-80,HASH11,BUY,1207000,SimpleOrder
HC II - FIM,35.001.472/0001-43,HASH11,BUY,1801000,SimpleOrder
HC III - FIM IE,40.983.021/0001-99,HDAIF,BUY,1000000,SimpleOrder
HBTC I FIM IE,38.167.819/0001-10,BITH11,SELL,1500000,SimpleOrder
Hashdex Crypto Long Biased FIM,47.612.160/0001-55,HASH11,SELL,62800,SimpleOrder
Hashdex Crypto Selection FIM,45.604.913/0001-55,SOLH11,SELL,205000,SimpleOrder
Hashdex DEFI FIM,44.417.355/0001-56,DEFI11,SELL,120000,SimpleOrder
HC IV FIM IE,42.031.504/0001-19,COINBASE,BUY,500000,SimpleOrder
HC IV FIM IE,42.031.504/0001-19,DEFI11,BUY,500000,SimpleOrder
HC IV FIM IE,42.031.504/0001-19,META11,BUY,552000,RebalanceOrder
HC IV FIM IE,42.031.504/0001-19,DEFI11,BUY,1023000,RebalanceOrder
HC IV FIM IE,42.031.504/0001-19,WEB311,BUY,629000,RebalanceOrder
HC IV FIM IE,42.031.504/0001-19,HASH11,SELL,2181000,RebalanceOrder
HC IV FIM IE,42.031.504/0001-19,BITH11,BUY,34000,RebalanceOrder
HC IV FIM IE,42.031.504/0001-19,ETHE11,SELL,268500,RebalanceOrder
HC IV FIM IE,42.031.504/0001-19,FOMO11,BUY,209000,RebalanceOrder